DATUM | TYP | VSTUPNI CENA | VYSTUPNI CENA | ZISK/ZTRATA USD | AKTUALNI BALANCE
-------------------------------------------------------------------------------------
2024-01-12 01:00:00+00:00 | LONG  | 46149.05 | 46072.24 |    -2.38 USD |   997.62 USD
2024-01-12 02:00:00+00:00 | LONG  | 46121.91 | 45921.47 |    -5.72 USD |   991.90 USD
2024-01-12 03:00:00+00:00 | LONG  | 46072.24 | 46199.47 |     3.13 USD |   995.03 USD
2024-01-12 04:00:00+00:00 | LONG  | 45921.47 | 46119.66 |     5.07 USD |  1000.10 USD
2024-01-12 08:00:00+00:00 | LONG  | 45872.71 | 46092.05 |     5.68 USD |  1005.77 USD
2024-01-12 14:00:00+00:00 | LONG  | 45517.62 | 43569.78 |    -7.54 USD |   998.23 USD
2024-01-12 15:00:00+00:00 | LONG  | 44405.25 | 43657.20 |    -7.49 USD |   990.74 USD
2024-01-12 16:00:00+00:00 | LONG  | 43569.78 | 43471.16 |    -3.10 USD |   987.64 USD
2024-01-12 17:00:00+00:00 | LONG  | 43657.20 | 43435.46 |    -6.57 USD |   981.08 USD
2024-01-12 18:00:00+00:00 | LONG  | 43471.16 | 43711.65 |     6.49 USD |   987.57 USD
2024-01-12 19:00:00+00:00 | LONG  | 43435.46 | 43428.11 |    -0.51 USD |   987.06 USD
2024-01-12 21:00:00+00:00 | LONG  | 43428.11 | 42842.48 |    -7.40 USD |   979.66 USD
2024-01-13 01:00:00+00:00 | LONG  | 42666.97 | 42603.20 |    -2.12 USD |   977.53 USD
2024-01-13 02:00:00+00:00 | LONG  | 42568.67 | 42827.88 |     7.15 USD |   984.68 USD
2024-01-13 03:00:00+00:00 | LONG  | 42603.20 | 43051.15 |    12.65 USD |   997.33 USD
2024-01-13 11:00:00+00:00 | LONG  | 42578.96 | 42715.65 |     3.70 USD |  1001.03 USD
2024-01-13 12:00:00+00:00 | LONG  | 42700.78 | 42838.09 |     3.72 USD |  1004.75 USD
2024-01-14 22:00:00+00:00 | LONG  | 42254.06 | 42235.76 |    -0.85 USD |  1003.91 USD
2024-01-14 23:00:00+00:00 | LONG  | 41812.25 | 42258.46 |    13.09 USD |  1017.00 USD
2024-01-18 18:00:00+00:00 | LONG  | 41475.32 | 40915.73 |    -7.63 USD |  1009.37 USD
2024-01-19 02:00:00+00:00 | LONG  | 41094.67 | 41057.13 |    -1.46 USD |  1007.92 USD
